snames,year,nia_sw,nia_gw,nia_others,tnia,tgia
Assam,1956,68.52730774,0.87525011,108.5186783,127.3531779,116.0395293
Assam,1957,70.63315962,0.9088418,105.956021,130.8742816,120.1918579
Assam,1958,71.83294757,0.89124615,112.6583554,132.2589853,121.6361461
Assam,1959,73.40611352,0.94416639,108.8636514,135.8535631,123.8928464
Assam,1960,74.33209094,0.97175956,120.2477634,139.3803187,126.2849487
Assam,1961,75.24313324,0.98002419,119.1635622,140.6406816,128.451381
Assam,1962,77.72734149,1.01961439,118.4243342,145.0547779,132.9196476
Assam,1963,77.76716848,1.03760994,122.3668838,146.3151409,134.0931317
Assam,1964,79.66890706,1.07640034,124.2888768,150.3392594,138.5613983
Assam,1965,75.75092732,1.15344794,121.9726289,148.8923854,139.4640784
Assam,1966,78.01608714,1.22569673,100.5842972,152.074378,147.4979315
Assam,1967,78.3396814,1.21449951,115.6152676,153.6908076,149.8900338
Assam,1968,78.74790801,1.4397771,117.7836699,163.9545706,160.1354532
Assam,1969,82.95961178,1.48989803,116.1080863,170.6689706,166.86042
Assam,1970,84.38342653,1.58454128,111.672718,175.7895484,172.3667688
Assam,1971,83.88061083,1.63692832,119.1142804,178.2933187,173.4499849
Assam,1972,82.71567149,1.72810576,111.1306174,179.9210521,176.2482933
Assam,1973,84.45810212,1.77062857,113.2497378,183.9451706,181.799776
Assam,1974,84.92109084,1.89673071,119.3606897,190.5182743,188.3893409
Assam,1975,88.43084397,1.92539028,117.5865424,195.5145113,195.7010499
Assam,1976,88.4258656,2.01110241,113.3483016,198.656941,196.558596
Assam,1977,92.00033759,2.07735268,122.3176019,206.552578,207.9774995
Assam,1978,95.01723178,2.18999148,125.3730779,215.1038299,218.0423828
Assam,1979,90.88020361,2.38127748,118.5228979,217.731941,222.1044433
Assam,1980,91.97046735,2.35874973,125.718051,218.839704,224.6770817
Assam,1981,96.19212787,2.49764869,120.4448909,228.9169558,232.0339247
Assam,1982,95.19147484,2.57896191,109.5535975,229.979504,233.9295529
Assam,1983,101.0460418,2.58496042,111.3770267,237.0895336,242.9563541
Assam,1984,96.52567887,2.6884015,120.9377096,237.4342966,246.3368911
Assam,1985,94.31528115,2.72172658,123.3032393,236.6147781,245.0009246
Assam,1986,95.44537188,2.77557993,126.9008159,240.5936818,251.6627038
Assam,1987,91.74644056,2.88781882,139.369129,242.5831336,252.9986704
Assam,1988,99.84625383,3.05511076,138.9255922,258.820904,273.2457855
Assam,1989,99.3484165,3.12589325,135.8208344,260.8951336,275.9402857
Assam,1990,101.5438791,3.29185219,144.4944436,271.4188818,285.2649713
Assam,1991,103.4605528,3.47074126,150.2111405,281.8408966,296.4401512
Assam,1992,100.3888965,3.58844547,158.2440853,284.2655411,301.3191372
Assam,1993,101.1008039,3.67855651,169.2832243,290.1604226,308.0576443
Assam,1994,102.3304621,3.85384647,174.1128476,299.5424966,318.8536985
Assam,1995,100.7523178,3.95862055,170.8602441,301.8201929,322.0401593
Assam,1996,99.2189788,4.23828469,166.9669764,311.4848596,343.1357937
Assam,1997,99.53759469,4.2804076,153.069489,312.0387411,341.5290231
Assam,1998,100.0951725,4.53221196,164.059346,324.6197633,355.0692249
Assam,1999,99.46291909,4.61739089,143.5088061,325.1566893,355.610833
Assam,2000,91.99038085,4.5079513,143.3609605,312.0104818,343.8624512
Assam,2001,86.61373774,4.69177248,213.9818806,321.7938374,353.7197181
Assam,2002,79.07648064,4.57940029,180.2730813,304.6178596,329.7264806
Assam,2003,81.51588354,4.85,211.8627602,322.4777115,352.2348093
Assam,2004,82.14315856,4.69097268,371.4867379,334.7535337,365.9374935
Assam,2005,93.5983954,4.80814369,294.0156379,343.8417115,380.3848889
Assam,2006,95.11182087,5.01742524,295.6419396,354.619793,391.5510419
Assam,2007,93.20012554,5.1135348,300.9643816,357.1348671,397.4410297
Assam,2008,93.90207617,5.16618843,296.6768589,359.6725486,401.2232594
Assam,2009,82.46675283,5.1138014,345.3673467,350.0530967,384.0226897
Assam,2010,87.73387172,5.22164138,338.2707573,359.7912375,401.3902552
Assam,2011,89.23236207,5.40372966,356.6036131,371.3097115,414.2353933
Assam,2012,86.74815382,5.50610433,371.3881741,374.5256153,416.3431514
Assam,2013,90.20812322,5.65700033,371.6838654,384.8911116,432.2574019
Assam,2014,89.13777298,5.72658311,370.5503823,386.4905856,435.3490813
Assam,2015,NA,NA,NA,NA,NA
Bihar,1950,2.76941985,1.54280508,1.70851972,5.13717853,5.29201916
Bihar,1951,2.83081781,1.68191046,1.35898434,5.18546352,5.43745586
Bihar,1952,2.82895726,1.68294278,1.40332409,5.20344722,5.4656049
Bihar,1953,3.04361754,1.72526797,1.20753821,5.38747217,5.71425473
Bihar,1954,3.04478038,1.73584927,1.30715867,5.44142327,5.85265417
Bihar,1955,3.21129907,1.73920432,1.27318406,5.60647911,6.01451114
Bihar,1956,3.20129865,1.6945564,1.26800149,5.55104991,6.03093141
Bihar,1957,3.29967491,1.75959268,1.23805777,5.70452722,6.24674071
Bihar,1958,3.3557238,1.72552606,1.31637212,5.76488346,6.32180481
Bihar,1959,3.42921529,1.827984,1.27203238,5.92156334,6.43909247
Bihar,1960,3.47247294,1.88140666,1.40505161,6.07528699,6.56341738
Bihar,1961,3.51503289,1.89740765,1.39238311,6.13022349,6.67601354
Bihar,1962,3.63108433,1.97405755,1.3837455,6.32262442,6.9082431
Bihar,1963,3.63294487,2.00889842,1.42981276,6.37756092,6.96923268
Bihar,1964,3.72178585,2.08399984,1.45227056,6.55296355,7.20146225
Bihar,1965,3.53875483,2.23317035,1.42520604,6.48989743,7.24837731
Bihar,1966,3.64457327,2.37304997,1.17529112,6.62859362,7.66592138
Bihar,1967,3.65969019,2.35137121,1.35092257,6.69905029,7.7902463
Bihar,1968,3.67876077,2.78752721,1.37625957,7.14642555,8.32273227
Bihar,1969,3.8755133,2.88456547,1.35668098,7.43909174,8.67224949
Bihar,1970,3.94202775,3.06780261,1.30485531,7.66228666,8.95843138
Bihar,1971,3.91853839,3.16922823,1.39180727,7.77142061,9.01472945
Bihar,1972,3.86411747,3.34575528,1.29852106,7.84236998,9.16016615
Bihar,1973,3.94551628,3.42808295,1.32328221,8.01777262,9.44869379
Bihar,1974,3.9671451,3.67222708,1.39468647,8.30428001,9.79117375
Bihar,1975,4.13110555,3.72771438,1.3739562,8.52205519,10.17118577
Bihar,1976,4.13087298,3.89366013,1.32443389,8.65902691,10.21575508
Bihar,1977,4.29785681,4.02192612,1.42923692,9.00318067,10.80923063
Bihar,1978,4.43879302,4.24000412,1.46493905,9.37591127,11.33233359
Bihar,1979,4.24552901,4.6103496,1.38489718,9.49046495,11.54345138
Bihar,1980,4.2964614,4.566734,1.46896994,9.53874995,11.67715931
Bihar,1981,4.49367907,4.83565386,1.40735497,9.97799559,12.05951707
Bihar,1982,4.4469329,4.99308295,1.28009415,10.02430976,12.15803871
Bihar,1983,4.72043288,5.00469657,1.30140026,10.3342206,12.62718934
Bihar,1984,4.50926113,5.20496702,1.41311338,10.34924807,12.80288626
Bihar,1985,4.40600093,5.26948714,1.44075374,10.31352703,12.73345196
Bihar,1986,4.45879387,5.37375165,1.48279012,10.48695885,13.07968513
Bihar,1987,4.28599584,5.59105541,1.62847785,10.57367475,13.14911942
Bihar,1988,4.66438399,5.91494641,1.62329528,11.28144409,14.2014243
Bihar,1989,4.64112719,6.05198714,1.58701731,11.37185528,14.34146576
Bihar,1990,4.74368968,6.37329733,1.68836529,11.83056273,14.82609837
Bihar,1991,4.83322837,6.71964133,1.75516283,12.28483584,15.40690686
Bihar,1992,4.6897339,6.94752639,1.84902488,12.39052085,15.66048277
Bihar,1993,4.72299113,7.12198879,1.97801323,12.647466,16.01070372
Bihar,1994,4.78043543,7.46136461,2.03444563,13.05641034,16.57180788
Bihar,1995,4.70671137,7.66421586,1.99644013,13.1556902,16.73741806
Bihar,1996,4.63508042,8.2056687,1.95094871,13.57695215,17.83382309
Bihar,1997,4.64996477,8.28722213,1.7885616,13.60109464,17.75031428
Bihar,1998,4.67601239,8.77473615,1.9169741,14.14947422,18.45404023
Bihar,1999,4.64647625,8.93964957,1.67684848,14.17287767,18.48218927
Bihar,2000,4.29739167,8.7277655,1.67512095,13.59986288,17.87158972
Bihar,2001,4.04621822,9.08365848,2.50030085,14.02629822,18.38390221
Bihar,2002,3.69411026,8.86609664,2.10642573,13.27763445,17.13689982
Bihar,2003,3.80806858,9.39,2.4755397,14.05610681,18.30672693
Bihar,2004,3.83737215,9.08210999,4.34068813,14.59118338,19.01889759
Bihar,2005,4.37251114,9.30896273,3.43546635,14.98731742,19.76977319
Bihar,2006,4.44321181,9.71414908,3.4544691,15.45711071,20.35011252
Bihar,2007,4.3539057,9.9002251,3.51665991,15.56673736,20.65623331
Bihar,2008,4.38669779,10.00216689,3.46656176,15.67734941,20.85280743
Bihar,2009,3.85248907,9.90074126,4.03549249,15.25805828,19.95884089
Bihar,2010,4.09854603,10.10952836,3.95257141,15.6825228,20.86148671
Bihar,2011,4.168549,10.46206629,4.1667842,16.1845882,21.52908807
Bihar,2012,4.05249756,10.6602721,4.33953644,16.3247625,21.63863474
Bihar,2013,4.21413233,10.9524192,4.34299149,16.77657209,22.46574731
Bihar,2014,4.1641302,11.0871372,4.32974715,16.84628971,22.6264314
Bihar,2015,NA,NA,NA,NA,NA
Chandigarh,1950,NA,NA,NA,NA,NA
Chandigarh,1951,NA,NA,NA,NA,NA
Chandigarh,1952,NA,NA,NA,NA,NA
Chandigarh,1953,NA,NA,NA,NA,NA
Chandigarh,1954,NA,NA,NA,NA,NA
Chandigarh,1955,NA,NA,NA,NA,NA
Chandigarh,1956,NA,NA,NA,NA,NA
Chandigarh,1957,NA,NA,NA,NA,NA
Chandigarh,1958,NA,NA,NA,NA,NA
Chandigarh,1959,NA,NA,NA,NA,NA
Chandigarh,1960,NA,NA,NA,NA,NA
Chandigarh,1961,NA,NA,NA,NA,NA
Chandigarh,1962,NA,NA,NA,NA,NA
Chandigarh,1963,NA,NA,NA,NA,NA
Chandigarh,1964,NA,NA,NA,NA,NA
Chandigarh,1965,NA,NA,NA,NA,NA
Chandigarh,1966,NA,NA,NA,NA,NA
Chandigarh,1967,NA,NA,NA,NA,NA
Chandigarh,1968,NA,NA,NA,NA,NA
Chandigarh,1969,NA,NA,NA,NA,NA
Chandigarh,1970,NA,NA,NA,NA,NA
Chandigarh,1971,NA,NA,NA,NA,NA
Chandigarh,1972,NA,NA,NA,NA,NA
Chandigarh,1973,NA,NA,NA,NA,NA
